ID,Cassette No.,Date,Database,Station,Language,Length,Kinyarwanda transcript,Notes
K0116472-K0116480,970,10/05/1994,MIGS,Radio Rwanda,French,9 pages,K0149713-K0149729,Translation is only of side A of the cassette
K0149765-K0149784,971,11/05/1994,MIGS,Radio Rwanda,French,60 mins (20 pages),N/A,
K0283875-K0283881,981,15/05/1994,MIGS,Radio Rwanda,French,Excerpts,K0283882-K0283918,
K0350460-K0350461,983,16/05/1994,MIGS,Radio Rwanda,English,Excerpts,N/A,
K0350098-K0350124,983,16/05/1994,MIGS,Radio Rwanda,French,60 mins (27 pages),N/A,
K0344513-K0344541,990,17/05/1994,MIGS,Radio Rwanda,French,14 pages,K0282715-K0282733,
K0362104-K0362117,990,17/05/1994,MIGS,Radio Rwanda,English,60 mins (29 pages),K0282715-K0282733,
K0244901-K0244929,991,18/05/1994,MIGS,Radio Rwanda,English,29 Pages,N/A,
K0244257-K0244279,991,18/05/1994,MIGS,Radio Rwanda,French,23 Pages,N/A,
K0344573-K0344605,992,18/05/1994,MIGS,Radio Rwanda,English,33 pages,N/A,
K0181866-K0181891,994,05/05/1994,MIGS,Radio Rwanda,French,26 Pages,K0150015-K0150031,
K0181829-K0181855,994,05/05/1994,MIGS,Radio Rwanda,English,27 Pages,K0150015-K0150031,
K0369060-K0369084,995,19/05/1994,MIGS,Radio Rwanda,French,25 pages,N/A,
K0181392-K0181397,996,19/05/1994,MIGS,Radio Rwanda,English,6 Pages,N/A,
K0261244-K0261259,996,19/05/1994,MIGS,Radio Rwanda,French,16 pages,N/A,
K0272370-K0272397,998,20/05/1994,MIGS,Radio Rwanda,English,28 pages,K0150087-K0150105,
K0331902-K0331948,1005,24/05/1994,MIGS,Radio Rwanda,English,47 Pages,K0163301-K0163342,
K0283999-K0284006,1006,24/05/1994,MIGS,Radio Rwanda,French,60 mins (8 pages) ,N/A,
K0337617-K0337647,1007,25/05/1994,MIGS,Radio Rwanda,French,60 mins (31 pages),K0284007-K0284037,
K0348987-K0349019,1010,28/05/1994,MIGS,Radio Rwanda,French,90 mins (33 pages),K0164280-K0164333,
K0364060-K0364086,1018,01/06/1994,MIGS,Radio Rwanda,English,60 mins (27 pages),K0142718-K0142760,
K0338743-K0338786,1018,01/06/1994,MIGS,Radio Rwanda,French,60 mins (44 pages),K0142718-K0142760,
K0344909-K0344939,1020,02/06/1994,MIGS,Radio Rwanda,French,60 mins (31 pages),K0142761-K0142785,
K0358844-K0358861,1028,04/06/1994,MIGS,Radio Rwanda,English,60 mins (18 pages),K0143017-K0143044,
K0377848-K0377858,1035,08/06/1994,MIGS,Radio Rwanda,English,11 Pages,K0142026-K0142056,Large sections of side A missing
K0261334-K0261361,1037,09/06/1994,MIGS,Radio Rwanda,English,60 mins (28 pages) ,K0142088-K0142108,
K0263543-K0263573,1040,11/06/1994,MIGS,Radio Rwanda,English,60 mins (31 pages),K0142158-K0142190,
K0261207-K0261239,1040,11/06/1994,MIGS,Radio Rwanda,French,60 mins (33 pages),K0142158-K0142190,
K0333898-K0333914,1053,17-18/06/1994,MIGS,Radio Rwanda,English,60 mins (17 pages),K0142353-K0142375,
K0368730-K0368759,1056,18/06/1994,MIGS,Radio Rwanda,French,60 mins (30 pages),K0142425-K0142450,
K0377119-K0377124,1057,19/06/1994,MIGS,Radio Rwanda,French,6 Pages,K0282894-K0282925,Only contains first six pages of the translation
K0349165-K0349171,1103,21/10/1990,MIGS,Radio Rwanda,French,7 pages,K0267306-K0267309,
